"ItemId","IsHidden","Categories","Timestamp","Labels","Comment"
"i_need_time_alone_to_recharge_after_social_interactions","False","['activity']","","i_need_time_alone_to_recharge_after_social_interactions","Activity: I need time alone to recharge after social interactions"
"bungee_jumping","False","['activity']","","bungee_jumping","Activity: Bungee Jumping"
"homestay_with_locals","False","['activity']","","homestay_with_locals","Activity: Homestay with locals"
"hiking_trekking","False","['activity']","","hiking_trekking","Activity: Hiking/Trekking"
"attending_religious_ceremonies_festivals_eg:_songkran","False","['activity']","","attending_religious_ceremonies_festivals_eg:_songkran","Activity: Attending Religious Ceremonies/Festivals Eg: Songkran"
"cooking_class_","False","['activity']","","cooking_class_","Activity: Cooking class "
"private_museum_art_tour_(eg:_louvre)","False","['activity']","","private_museum_art_tour_(eg:_louvre)","Activity: Private Museum Art Tour (eg: Louvre)"
"backpacking_+_food_street_tour_in_bangkok","False","['activity']","","backpacking_+_food_street_tour_in_bangkok","Activity: Backpacking + Food Street Tour in Bangkok"
"theme_parks","False","['activity']","","theme_parks","Activity: Theme Parks"
"wildlife_trails","False","['activity']","","wildlife_trails","Activity: Wildlife Trails"
"all_inclusive_luxury_resort_(eg:_maldives)","False","['activity']","","all_inclusive_luxury_resort_(eg:_maldives)","Activity: All Inclusive Luxury Resort (eg: Maldives)"
